0.762500      0.093410       0.093409      0.093409        0.093410      0.093411      0.093407      0.099161      0.090330
0.775000      0.089265       0.089265      0.089265        0.089266      0.089267      0.089263      0.097156      0.085829
0.787500      0.084814       0.084813      0.084813        0.084815      0.084815      0.084811      0.094834      0.080998
0.800000      0.080030       0.080029      0.080030        0.080031      0.080032      0.080027      0.092111      0.075809
0.812500      0.074885       0.074884      0.074884        0.074886      0.074886      0.074882      0.088887      0.070230
0.825000      0.069343       0.069342      0.069342        0.069344      0.069344      0.069340      0.085045      0.064224
0.837500      0.063362       0.063361      0.063361        0.063363      0.063364      0.063359      0.080448      0.057744
0.850000      0.056891       0.056890      0.056890        0.056892      0.056892      0.056887      0.074937      0.050733
0.862500      0.049865       0.049864      0.049864        0.049866      0.049866      0.049861      0.068332      0.043121
0.875000      0.042205       0.042203      0.042204        0.042206      0.042206      0.042201      0.060424      0.034816
0.887500      0.033806       0.033805      0.033805        0.033807      0.033808      0.033802      0.050981      0.025702
0.900000      0.024534       0.024533      0.024533        0.024535      0.024536      0.024530      0.039738      0.015620
0.912500      0.014205       0.014204      0.014204        0.014206      0.014206      0.014201      0.026403      0.004355
0.925000      0.002559       0.002558      0.002558        0.002560      0.002560      0.002554      0.010652      -0.008408
0.937500      -0.010784       -0.010786      -0.010786        -0.010783      -0.010783      -0.010789      -0.007867      -0.023146
0.950000      -0.026419       -0.026420      -0.026420        -0.026417      -0.026417      -0.026423      -0.029534      -0.040645
0.962500      -0.045343       -0.045344      -0.045344        -0.045342      -0.045342      -0.045348      -0.054753      -0.062344
0.975000      -0.069408       -0.069409      -0.069409        -0.069407      -0.069406      -0.069413      -0.083943      -0.091395
0.987500      -0.102456       -0.102457      -0.102457        -0.102455      -0.102454      -0.102461      -0.117531      -0.137469
1.000000      -0.200215       -0.200216      -0.200216        -0.200213      -0.200213      -0.200219      -0.201930      -0.385007
