0.006	-0.2158	-0.4138
0.0028	-0.2499	-0.4168
0.0048	-0.2231	-0.3776
0.0072	-0.1966	-0.3416
0.0098	-0.1707	-0.3057
0.0127	-0.1485	-0.2743
0.016	-0.1284	-0.2451
0.0196	-0.1103	-0.2179
0.0236	-0.0942	-0.1925
0.028	-0.0794	-0.1686
0.033	-0.0659	-0.1458
0.0384	-0.0534	-0.124
0.0445	-0.0417	-0.1028
0.0512	-0.0306	-0.0821
0.0586	-0.02	-0.0618
0.0668	-0.0098	-0.0418
0.0758	0	-0.0219
0.0857	0.0096	-0.0022
0.0965	0.019	0.0174
0.1084	0.0281	0.037
0.1213	0.0371	0.0564
0.1353	0.0459	0.0757
0.1506	0.0545	0.0948
0.167	0.0629	0.1137
0.1847	0.071	0.1322
0.2037	0.0789	0.1503
0.224	0.0864	0.1677
0.2455	0.0935	0.1844
0.2683	0.1002	0.2001
0.2923	0.1063	0.2147
0.3175	0.1118	0.228
0.3436	0.1167	0.2398
0.3707	0.1209	0.25
0.3986	0.1244	0.2583
0.4271	0.127	0.2647
0.4561	0.1287	0.269
0.4853	0.1296	0.2712
0.5147	0.1296	0.2712
0.5439	0.1287	0.269
0.5729	0.127	0.2647
0.6014	0.1244	0.2583
0.6293	0.1209	0.25
0.6564	0.1167	0.2398
0.6825	0.1118	0.228
0.7077	0.1063	0.2147
0.7317	0.1001	0.2001
0.7545	0.0935	0.1843
0.776	0.0863	0.1676
0.7963	0.0788	0.1502
0.8153	0.0709	0.1321
0.833	0.0628	0.1136
0.8494	0.0544	0.0947
0.8647	0.0457	0.0756
0.8787	0.0369	0.0563
0.8916	0.028	0.0368
0.9035	0.0188	0.0173
0.9143	0.0095	-0.0022
0.9242	0	-0.0219
0.9332	-0.0097	-0.0416
0.9414	-0.0197	-0.0615
0.9488	-0.0301	-0.0817
0.9555	-0.0409	-0.1021
0.9616	-0.0523	-0.1231
0.967	-0.0643	-0.1447
0.972	-0.0774	-0.1673
0.9764	-0.0916	-0.191
0.9804	-0.1075	-0.2164
0.984	-0.1255	-0.2438
0.9873	-0.1462	-0.2738
0.9902	-0.1703	-0.3069
0.9928	-0.1984	-0.3436
0.9951	-0.2302	-0.3838
0.9972	-0.2613	-0.4246
0.9991	-0.235	-0.4294
0.9991	-0.235	-0.4294
