-1.612645 0.996840 0.000000
-1.240116 0.996076 0.000000
-0.942093 0.994779 0.000000
-0.703674 0.992782 0.000000
-0.512939 0.989753 0.000000
-0.360352 0.985086 0.000000
-0.238281 0.977582 0.000000
-0.140625 0.964571 0.000000
-0.062500 0.939735 0.000000
0.000000 0.944561 0.100000
0.050000 0.989375 0.090000
0.100000 1.014716 0.080000
0.150000 1.032701 0.070000
0.200000 1.046090 0.060000
0.250000 1.056254 0.050000
0.300000 1.063943 0.040000
0.350000 1.069597 0.030000
0.400000 1.073480 0.020000
0.450000 1.075753 0.010000
0.500000 1.076502 0.000000
0.550000 1.075753 -0.010000
0.600000 1.073480 -0.020000
0.650000 1.069597 -0.030000
0.700000 1.063943 -0.040000
0.750000 1.056254 -0.050000
0.800000 1.046090 -0.060000
0.850000 1.032701 -0.070000
0.900000 1.014716 -0.080000
0.950000 0.989375 -0.090000
1.000000 0.944561 -0.100000
1.062500 0.939735 0.000000
1.140625 0.964571 0.000000
1.238281 0.977582 0.000000
1.360352 0.985086 0.000000
1.512939 0.989753 0.000000
1.703674 0.992782 0.000000
1.942093 0.994779 0.000000
2.240116 0.996076 0.000000
2.612645 0.996840 0.000000
