"Ux","Uy","Cp","Points:0","Points:1","Points:2"
1.0012,0.002978,-0.002428,-0.14062,1.2651,0
1.0007,0.001897,-0.001311,-0.14062,1.6376,0
1,0,0,-0.14062,2.1033,0
0.89529,0,0.19846,-0.0625,-0.025,0
0.93973,0.015237,0.11667,-0.0625,0.025,0
0.9665,0.029382,0.065007,-0.0625,0.0875,0
0.98299,0.028562,0.032913,-0.0625,0.16563,0
0.99301,0.023274,0.013395,-0.0625,0.26328,0
0.99871,0.017317,0.002286,-0.0625,0.38535,0
1.0015,0.012003,-0.003116,-0.0625,0.53794,0
1.0024,0.007795,-0.004829,-0.0625,0.72867,0
1.0022,0.004782,-0.004449,-0.0625,0.96709,0
1.0016,0.002841,-0.003143,-0.0625,1.2651,0
1.0008,0.001765,-0.001596,-0.0625,1.6376,0
1,0,0,-0.0625,2.1033,0
0.89456,0.125,0.18414,0,-0.025,0
0.94456,0.09516,0.09875,0,0.025,0
0.97311,0.057919,0.049711,0,0.0875,0
0.98888,0.03945,0.020564,0,0.16563,0
0.99745,0.027675,0.004334,0,0.26328,0
1.0018,0.019007,-0.003875,0,0.38535,0
1.0034,0.01249,-0.007005,0,0.53794,0
1.0035,0.007791,-0.00709,0,0.72867,0
1.0028,0.00463,-0.005648,0,0.96709,0
1.0019,0.002682,-0.003714,0,1.2651,0
1.0009,0.001635,-0.001816,0,1.6376,0
1,0,0,0,2.1033,0
1.0019,0.1125,-0.01641,0.05,-0.025,0
0.98937,0.093782,0.012342,0.05,0.025,0
0.99274,0.064836,0.010259,0.05,0.0875,0
0.99873,0.044141,0.000598,0.05,0.16563,0
1.003,0.029867,-0.006939,0.05,0.26328,0
1.005,0.019763,-0.010517,0.05,0.38535,0
1.0053,0.012577,-0.010845,0.05,0.53794,0
1.0046,0.007635,-0.009188,0.05,0.72867,0
1.0033,0.004435,-0.00671,0.05,0.96709,0
1.0021,0.002522,-0.004202,0.05,1.2651,0
1.001,0.001516,-0.002,0.05,1.6376,0
1,0,0,0.05,2.1033,0
1.0272,0.1,-0.065172,0.1,-0.025,0
1.0147,0.087042,-0.037224,0.1,0.025,0
1.0094,0.064569,-0.023125,0.1,0.0875,0
1.0085,0.045296,-0.019138,0.1,0.16563,0
1.0086,0.030554,-0.018297,0.1,0.26328,0
1.0083,0.019848,-0.017001,0.1,0.38535,0
1.0071,0.012346,-0.014442,0.1,0.53794,0
1.0055,0.007328,-0.011079,0.1,0.72867,0
1.0038,0.004172,-0.007637,0.1,0.96709,0
1.0023,0.002332,-0.004617,0.1,1.2651,0
1.0011,0.001385,-0.002154,0.1,1.6376,0
1,0,0,0.1,2.1033,0
1.0452,0.0875,-0.1001,0.15,-0.025,0
1.0327,0.077976,-0.072552,0.15,0.025,0
1.0235,0.060421,-0.051286,0.15,0.0875,0
1.0179,0.043692,-0.038051,0.15,0.16563,0
1.0144,0.029759,-0.029834,0.15,0.26328,0
1.0116,0.019208,-0.023641,0.15,0.38535,0
1.0089,0.01177,-0.018066,0.15,0.53794,0
1.0064,0.006862,-0.012937,0.15,0.72867,0
1.0042,0.003839,-0.008524,0.15,0.96709,0
1.0025,0.002115,-0.005006,0.15,1.2651,0
1.0011,0.001241,-0.002296,0.15,1.6376,0
1,0,0,0.15,2.1033,0
1.0586,0.075,-0.12624,0.2,-0.025,0
