1.000000  0.000000,
0.993714  -0.001782,
0.986800  -0.002581,
0.979194  -0.003452,
0.970827  -0.004401,
0.961624  -0.005433,
0.951500  -0.006556,
0.940365  -0.007776,
0.928115  -0.009099,
0.914641  -0.010532,
0.899819  -0.012083,
0.883515  -0.013759,
0.865580  -0.015565,
0.845853  -0.017510,
0.824152  -0.019598,
0.800281  -0.021833,
0.774023  -0.024220,
0.745140  -0.026756,
0.713368  -0.029438,
0.678419  -0.032255,
0.639975  -0.035184,
0.597686  -0.038186,
0.551169  -0.041199,
0.500000  -0.044117,
0.448831  -0.046556,
0.402314  -0.048286,
0.360025  -0.049386,
0.321581  -0.049928,
0.286632  -0.049981,
0.254860  -0.049607,
0.225977  -0.048863,
0.199719  -0.047799,
0.175848  -0.046461,
0.154147  -0.044887,
0.134420  -0.043110,
0.116485  -0.041157,
0.100181  -0.039049,
0.085359  -0.036799,
0.071885  -0.034416,
0.059635  -0.031899,
0.048500  -0.029240,
0.038376  -0.026412,
0.029173  -0.023371,
0.020806  -0.020027,
0.013200  -0.016194,
0.006286  -0.011367,
-0.000000  -0.000000,
0.006286  0.011367,
0.013200  0.016194,
0.020806  0.020027,
0.029173  0.023371,
0.038376  0.026412,
0.048500  0.029240,
0.059635  0.031899,
0.071885  0.034416,
0.085359  0.036799,
0.100181  0.039049,
0.116485  0.041157,
0.134420  0.043110,
0.154147  0.044887,
0.175848  0.046461,
0.199719  0.047799,
0.225977  0.048863,
0.254860  0.049607,
0.286632  0.049981,
0.321581  0.049928,
0.360025  0.049386,
0.402314  0.048286,
0.448831  0.046556,
0.500000  0.044117,
0.551169  0.041199,
0.597686  0.038186,
0.639975  0.035184,
0.678419  0.032255,
0.713368  0.029438,
0.745140  0.026756,
0.774023  0.024220,
0.800281  0.021833,
0.824152  0.019598,
0.845853  0.017510,
0.865580  0.015565,
0.883515  0.013759,
0.899819  0.012083,
0.914641  0.010532,
0.928115  0.009099,
0.940365  0.007776,
0.951500  0.006556,
0.961624  0.005433,
0.970827  0.004401,
0.979194  0.003452,
0.986800  0.002581,
0.993714  0.001782,
1.000000  0.000000,
